date,Consumer Price Inflation,Crude WTI,Durable Goods Orders,FED Interest Rate,Non Farm Payrolls,Retail Sales,Treasury 10year Yield,Treasury 2year Yield,Treasury 5year Yield,Unemployment Rate
1997-01-01,159.1,25.13,155358,5.25,119413,181073,6.58,6.01,6.33,5.3
1997-02-01,159.6,22.18,172311,5.19,120274,178428,6.42,5.90,6.20,5.2
1997-03-01,160.0,20.97,180530,5.39,121155,203750,6.69,6.22,6.54,5.2
1997-04-01,160.2,19.70,170687,5.51,122132,199219,6.89,6.45,6.76,5.1
1997-05-01,160.1,20.82,165694,5.50,123211,211516,6.71,6.28,6.57,4.9
1997-06-01,160.3,19.26,187205,5.56,123861,205491,6.49,6.09,6.38,5.0
1997-07-01,160.5,19.66,150782,5.52,122876,208856,6.22,5.89,6.12,4.9
1997-08-01,160.8,19.95,170465,5.54,122944,211952,6.30,5.94,6.16,4.8
1997-09-01,161.2,19.80,190959,5.54,123948,201415,6.21,5.88,6.11,4.9
1997-10-01,161.6,21.33,183393,5.50,124851,210145,6.03,5.77,5.93,4.7
1997-11-01,161.5,20.19,185230,5.52,125245,207533,5.88,5.71,5.80,4.6
1997-12-01,161.3,18.33,179906,5.50,125383,249389,5.81,5.72,5.77,4.7
1998-01-01,161.6,16.72,164391,5.56,122832,187445,5.54,5.36,5.42,4.6
1998-02-01,161.9,16.06,182332,5.51,123608,183767,5.57,5.42,5.49,4.6
1998-03-01,162.2,15.12,193649,5.49,124332,207973,5.65,5.56,5.61,4.7
1998-04-01,162.5,15.35,178239,5.45,125372,212262,5.64,5.56,5.61,4.3
1998-05-01,162.8,14.91,175154,5.49,126456,221155,5.65,5.59,5.63,4.4
1998-06-01,163.0,13.72,187991,5.56,127118,220867,5.50,5.52,5.52,4.5
1998-07-01,163.2,14.17,145785,5.54,126047,217687,5.46,5.46,5.46,4.5
1998-08-01,163.4,13.47,173662,5.55,126287,216605,5.34,5.27,5.27,4.5
1998-09-01,163.6,15.03,193961,5.51,127098,208915,4.81,4.67,4.62,4.6
1998-10-01,164.0,14.46,181357,5.07,127877,220499,4.53,4.09,4.18,4.5
1998-11-01,164.0,13.00,177925,4.83,128278,218969,4.83,4.54,4.54,4.4
1998-12-01,163.9,11.35,185472,4.68,128448,265618,4.65,4.51,4.45,4.4
1999-01-01,164.3,12.52,171934,4.63,125697,196810,4.72,4.62,4.60,4.3
1999-02-01,164.5,12.01,185255,4.76,126684,199451,5.00,4.88,4.91,4.4
1999-03-01,165.0,14.68,204755,4.81,127399,230230,5.23,5.05,5.14,4.2
1999-04-01,166.2,17.31,180224,4.74,128544,227109,5.18,4.98,5.08,4.3
1999-05-01,166.2,17.72,182326,4.74,129412,237462,5.54,5.25,5.44,4.2
1999-06-01,166.2,17.92,198372,4.76,130137,236830,5.90,5.62,5.81,4.3
1999-07-01,166.7,20.10,159656,4.99,129268,236992,5.79,5.55,5.68,4.3
1999-08-01,167.1,21.28,186590,5.07,129325,240478,5.94,5.68,5.84,4.2
